config,emergencia,iter,durationMin,distanceM,totalEdges,crossesElementoAlta,crossesObraAlta
CATAS,avenida_torrencial,7,108.42,7017,242,0,0
BASE,avenida_torrencial,8,27.69,2044,67,0,0
CATAS,avenida_torrencial,8,31.59,2044,67,0,0
BASE,avenida_torrencial,9,19.43,1461,65,0,0
CATAS,avenida_torrencial,9,22.57,1461,65,0,0
BASE,avenida_torrencial,10,11.05,837,31,0,0
CATAS,avenida_torrencial,10,12.94,837,31,0,0
BASE,avenida_torrencial,11,36.2,2798,91,0,0
CATAS,avenida_torrencial,11,43.24,2798,91,0,0
BASE,avenida_torrencial,12,22.7,1766,44,0,0
CATAS,avenida_torrencial,12,27.29,1766,44,0,0
BASE,avenida_torrencial,13,41.71,2908,116,0,0
CATAS,avenida_torrencial,13,44.93,2908,116,0,0
BASE,avenida_torrencial,14,21.34,1595,60,0,0
CATAS,avenida_torrencial,14,24.64,1595,60,0,0
BASE,avenida_torrencial,15,53.77,3854,157,1,3
CATAS,avenida_torrencial,15,61.32,3969,161,0,0
BASE,avenida_torrencial,16,30.44,2305,63,0,0
CATAS,avenida_torrencial,16,35.62,2305,63,0,0
BASE,avenida_torrencial,17,33.91,2645,110,1,3
CATAS,avenida_torrencial,17,47.32,3062,99,0,0
BASE,avenida_torrencial,18,68.78,5047,247,0,0
CATAS,avenida_torrencial,18,77.98,5047,247,0,0
BASE,avenida_torrencial,19,10.37,800,17,0,0
CATAS,avenida_torrencial,19,12.37,800,17,0,0
BASE,avenida_torrencial,20,84.68,6201,324,0,0
CATAS,avenida_torrencial,20,95.82,6201,324,0,0
BASE,avenida_torrencial,21,28.99,2189,106,1,3
CATAS,avenida_torrencial,21,42.76,2189,106,1,3
BASE,avenida_torrencial,22,47.17,3556,151,0,0
CATAS,avenida_torrencial,22,54.95,3556,151,0,0
BASE,avenida_torrencial,24,63.09,4552,223,0,0
CATAS,avenida_torrencial,24,70.34,4552,223,0,0
BASE,avenida_torrencial,25,34.58,2670,81,0,0
CATAS,avenida_torrencial,25,41.26,2670,81,0,0
BASE,avenida_torrencial,26,80.16,5883,317,0,0
CATAS,avenida_torrencial,26,90.36,5848,321,0,0
BASE,avenida_torrencial,27,33.48,2612,104,1,3
CATAS,avenida_torrencial,27,46.8,3029,93,0,0
BASE,avenida_torrencial,28,74,5599,161,0,0
CATAS,avenida_torrencial,28,86.51,5599,161,0,0
BASE,avenida_torrencial,29,92.93,6891,316,0,0
CATAS,avenida_torrencial,29,106.47,6891,316,0,0
BASE,avenida_torrencial,30,19.69,1511,43,0,0
CATAS,avenida_torrencial,30,23.35,1511,43,0,0
BASE,avenida_torrencial,31,22.52,1750,72,1,3
CATAS,avenida_torrencial,31,35.98,1750,70,1,3
BASE,avenida_torrencial,32,31.66,2439,77,0,0
CATAS,avenida_torrencial,32,37.68,2439,77,0,0
BASE,avenida_torrencial,33,101.26,7543,290,0,0
CATAS,avenida_torrencial,33,116.53,7542,293,0,0
BASE,avenida_torrencial,34,70.29,5225,221,0,0
CATAS,avenida_torrencial,34,80.74,5225,221,0,0
BASE,avenida_torrencial,35,26.16,2024,46,0,0
CATAS,avenida_torrencial,35,31.27,2024,46,0,0
BASE,avenida_torrencial,36,35.95,2720,95,1,3
CATAS,avenida_torrencial,36,43.81,2835,99,0,0
BASE,avenida_torrencial,37,13.02,1016,46,0,0
CATAS,avenida_torrencial,37,15.65,1013,44,0,0
BASE,avenida_torrencial,38,9.12,707,17,0,0
CATAS,avenida_torrencial,38,10.93,707,17,0,0
BASE,avenida_torrencial,40,46.17,3587,113,0,0
CATAS,avenida_torrencial,40,55.42,3587,113,0,0
BASE,avenida_torrencial,41,37.68,2870,74,0,0
CATAS,avenida_torrencial,41,44.34,2870,74,0,0
BASE,avenida_torrencial,42,51.6,3962,115,0,0
CATAS,avenida_torrencial,42,61.21,3962,115,0,0
BASE,avenida_torrencial,43,13.83,1079,44,0,0
CATAS,avenida_torrencial,43,16.67,1079,44,0,0
BASE,avenida_torrencial,44,31.39,2437,94,1,3
CATAS,avenida_torrencial,44,38.83,2513,71,0,0
BASE,avenida_torrencial,45,52.15,4056,164,1,3
CATAS,avenida_torrencial,45,71.61,4056,162,1,3
BASE,avenida_torrencial,46,27.67,2158,73,0,0
CATAS,avenida_torrencial,46,33.35,2158,73,0,0
BASE,avenida_torrencial,47,8.16,637,13,0,0
CATAS,avenida_torrencial,47,9.84,637,13,0,0
BASE,avenida_torrencial,49,73.3,5422,267,1,3
CATAS,avenida_torrencial,49,92.71,5421,265,1,3
BASE,avenida_torrencial,50,38.64,2850,127,0,0
CATAS,avenida_torrencial,50,44.03,2850,127,0,0
BASE,movimiento_en_masa,1,28.12,2084,89,0,0
CATAS,movimiento_en_masa,1,32.2,2084,89,0,0
BASE,movimiento_en_masa,2,32.4,2503,82,0,0
CATAS,movimiento_en_masa,2,38.67,2503,82,0,0
BASE,movimiento_en_masa,3,6.13,476,16,0,0
CATAS,movimiento_en_masa,3,7.36,476,16,0,0
BASE,movimiento_en_masa,4,3.78,295,10,0,0
CATAS,movimiento_en_masa,4,4.55,295,10,0,0
BASE,movimiento_en_masa,5,22.75,1722,56,0,0
CATAS,movimiento_en_masa,5,26.61,1722,56,0,0
BASE,movimiento_en_masa,6,76.71,5781,162,0,0
CATAS,movimiento_en_masa,6,89.32,5781,162,0,0
BASE,movimiento_en_masa,7,39.28,3037,101,0,0
CATAS,movimiento_en_masa,7,46.92,3037,101,0,0
BASE,movimiento_en_masa,8,40.05,3027,79,0,0
CATAS,movimiento_en_masa,8,46.77,3027,79,0,0
BASE,movimiento_en_masa,9,35.92,2737,135,0,0
CATAS,movimiento_en_masa,9,42.29,2737,135,0,0
BASE,movimiento_en_masa,10,30.67,2392,93,0,0
CATAS,movimiento_en_masa,10,36.96,2392,93,0,0
BASE,movimiento_en_masa,12,68.83,5070,235,0,0
CATAS,movimiento_en_masa,12,78.34,5070,235,0,0
BASE,movimiento_en_masa,13,12.35,963,27,0,0
CATAS,movimiento_en_masa,13,14.89,963,27,0,0
BASE,movimiento_en_masa,14,23.54,1824,56,0,0
CATAS,movimiento_en_masa,14,28.18,1824,56,0,0
BASE,movimiento_en_masa,15,80.31,6007,210,0,0
CATAS,movimiento_en_masa,15,92.82,6007,210,0,0
BASE,movimiento_en_masa,16,71.08,5373,167,0,0
CATAS,movimiento_en_masa,16,83.01,5373,167,0,0
BASE,movimiento_en_masa,17,34.5,2640,114,0,3
CATAS,movimiento_en_masa,17,47.46,2640,112,0,3
BASE,movimiento_en_masa,18,76.96,5585,262,0,0
CATAS,movimiento_en_masa,18,86.29,5585,262,0,0
BASE,movimiento_en_masa,19,45.39,3514,120,0,0
CATAS,movimiento_en_masa,19,54.3,3514,120,0,0
BASE,movimiento_en_masa,20,45.03,3316,161,0,0
CATAS,movimiento_en_masa,20,51.23,3316,161,0,0
BASE,movimiento_en_masa,21,47.88,3705,116,0,0
CATAS,movimiento_en_masa,21,57.24,3705,116,0,0
BASE,movimiento_en_masa,22,30.17,2284,55,0,0
CATAS,movimiento_en_masa,22,35.3,2284,55,0,0
BASE,movimiento_en_masa,23,41.97,3187,87,0,0
